,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Country","Data Source","Beverage Types","2018"
"Afghanistan","Data source","All types","0.01"
"Afghanistan","Data source","Beer","0.00"
"Afghanistan","Data source","Wine","0.00"
"Afghanistan","Data source","Spirits","0.01"
"Afghanistan","Data source","Other alcoholic beverages","0.00"
"Albania","Data source","All types","4.70"
"Albania","Data source","Beer","1.60"
"Albania","Data source","Wine","1.30"
"Albania","Data source","Spirits","1.72"
"Albania","Data source","Other alcoholic beverages","0.08"
"Algeria","Data source","All types","0.58"
"Algeria","Data source","Beer","0.30"
"Algeria","Data source","Wine","0.18"
"Algeria","Data source","Spirits","0.10"
"Algeria","Data source","Other alcoholic beverages","0"
"Andorra","Data source","All types","9.75"
"Andorra","Data source","Beer","3.66"
"Andorra","Data source","Wine","3.69"
"Andorra","Data source","Spirits","2.31"
"Andorra","Data source","Other alcoholic beverages","0"
"Angola","Data source","All types","5.35"
"Angola","Data source","Beer","3.64"
"Angola","Data source","Wine","0.64"
"Angola","Data source","Spirits","0.99"
"Angola","Data source","Other alcoholic beverages","0.08"
"Antigua and Barbuda","Data source","All types","8.72"
"Antigua and Barbuda","Data source","Beer","2.71"
"Antigua and Barbuda","Data source","Wine","1.08"
"Antigua and Barbuda","Data source","Spirits","4.53"
"Antigua and Barbuda","Data source","Other alcoholic beverages","0.39"
"Argentina","Data source","All types","8.22"
"Argentina","Data source","Beer","3.59"
"Argentina","Data source","Wine","2.86"
"Argentina","Data source","Spirits","0.72"
"Argentina","Data source","Other alcoholic beverages","0.72"
"Armenia","Data source","All types","3.71"
"Armenia","Data source","Beer","0.49"
"Armenia","Data source","Wine","0.38"
"Armenia","Data source","Spirits","2.83"
"Armenia","Data source","Other alcoholic beverages","0.01"
"Australia","Data source","All types","9.51"
"Australia","Data source","Beer","3.71"
"Australia","Data source","Wine","3.67"
"Australia","Data source","Spirits","1.32"
"Australia","Data source","Other alcoholic beverages","0.81"
"Austria","Data source","All types","11.80"
"Austria","Data source","Beer","6.40"
"Austria","Data source","Wine","3.60"
"Austria","Data source","Spirits","1.90"
"Austria","Data source","Other alcoholic beverages","0"
"Azerbaijan","Data source","All types","2.92"
"Azerbaijan","Data source","Beer","0.31"
"Azerbaijan","Data source","Wine","0.13"
"Azerbaijan","Data source","Spirits","2.48"
"Azerbaijan","Data source","Other alcoholic beverages","0.00"
"Bahamas","Data source","All types","8.90"
"Bahamas","Data source","Beer","3.43"
"Bahamas","Data source","Wine","1.40"
"Bahamas","Data source","Spirits","3.78"
"Bahamas","Data source","Other alcoholic beverages","0.29"
"Bahrain","Data source","All types","1.23"
"Bahrain","Data source","Beer","0.37"
"Bahrain","Data source","Wine","0.10"
"Bahrain","Data source","Spirits","0.73"
"Bahrain","Data source","Other alcoholic beverages","0.02"
"Bangladesh","Data source","All types","0.00"
"Bangladesh","Data source","Beer","0.00"
"Bangladesh","Data source","Wine","0.00"
"Bangladesh","Data source","Spirits","0.00"
"Bangladesh","Data source","Other alcoholic beverages","0"
"Barbados","Data source","All types","9.35"
"Barbados","Data source","Beer","3.65"
"Barbados","Data source","Wine","0.68"
"Barbados","Data source","Spirits","4.85"
"Barbados","Data source","Other alcoholic beverages","0.18"
"Belarus","Data source","All types","10.09"
"Belarus","Data source","Beer","2.18"
"Belarus","Data source","Wine","0.91"
"Belarus","Data source","Spirits","4.53"
"Belarus","Data source","Other alcoholic beverages","2.48"
"Belgium","Data source","All types","9.42"
"Belgium","Data source","Beer","4.46"
"Belgium","Data source","Wine","3.47"
"Belgium","Data source","Spirits","1.15"
"Belgium","Data source","Other alcoholic beverages","0.34"
"Belize","Data source","All types","5.61"
"Belize","Data source","Beer","4.04"
"Belize","Data source","Wine","0.18"
"Belize","Data source","Spirits","1.25"
"Belize","Data source","Other alcoholic beverages","0.14"
"Benin","Data source","All types","1.37"
"Benin","Data source","Beer","0.87"
"Benin","Data source","Wine","0.06"
"Benin","Data source","Spirits","0.21"
"Benin","Data source","Other alcoholic beverages","0.22"
"Bhutan","Data source","All types","0.06"
"Bhutan","Data source","Beer","0.01"
"Bhutan","Data source","Wine","0.05"
"Bhutan","Data source","Spirits","0"
"Bhutan","Data source","Other alcoholic beverages","0"
"Bolivia (Plurinational State of)","Data source","All types","3.34"
"Bolivia (Plurinational State of)","Data source","Beer","2.54"
"Bolivia (Plurinational State of)","Data source","Wine","0.14"
"Bolivia (Plurinational State of)","Data source","Spirits","0.58"
"Bolivia (Plurinational State of)","Data source","Other alcoholic beverages","0.08"
"Bosnia and Herzegovina","Data source","All types","4.99"
"Bosnia and Herzegovina","Data source","Beer","3.81"
"Bosnia and Herzegovina","Data source","Wine","0.44"
"Bosnia and Herzegovina","Data source","Spirits","0.57"
"Bosnia and Herzegovina","Data source","Other alcoholic beverages","0.17"
"Botswana","Data source","All types","4.81"
"Botswana","Data source","Beer","2.63"
"Botswana","Data source","Wine","0.38"
"Botswana","Data source","Spirits","0.28"
"Botswana","Data source","Other alcoholic beverages","1.52"
"Brazil","Data source","All types","6.19"
"Brazil","Data source","Beer","3.84"
"Brazil","Data source","Wine","0.26"
"Brazil","Data source","Spirits","2.06"
"Brazil","Data source","Other alcoholic beverages","0.04"
"Brunei Darussalam","Data source","All types","0.66"
"Brunei Darussalam","Data source","Beer","0.65"
"Brunei Darussalam","Data source","Wine","0.01"
"Brunei Darussalam","Data source","Spirits","0"
"Brunei Darussalam","Data source","Other alcoholic beverages","0"
"Bulgaria","Data source","All types","11.42"
"Bulgaria","Data source","Beer","4.32"
"Bulgaria","Data source","Wine","1.73"
"Bulgaria","Data source","Spirits","5.20"
"Bulgaria","Data source","Other alcoholic beverages","0.16"
"Burkina Faso","Data source","All types","7.20"
"Burkina Faso","Data source","Beer","1.00"
"Burkina Faso","Data source","Wine","0.09"
"Burkina Faso","Data source","Spirits","0.23"
"Burkina Faso","Data source","Other alcoholic beverages","5.88"
"Burundi","Data source","All types","4.00"
"Burundi","Data source","Beer","1.81"
"Burundi","Data source","Wine","0.00"
"Burundi","Data source","Spirits","0.01"
"Burundi","Data source","Other alcoholic beverages","2.18"
"Cabo Verde","Data source","All types","4.13"
"Cabo Verde","Data source","Beer","2.27"
"Cabo Verde","Data source","Wine","1.57"
"Cabo Verde","Data source","Spirits","0.28"
"Cabo Verde","Data source","Other alcoholic beverages","0"
"Cambodia","Data source","All types","3.70"
"Cambodia","Data source","Beer","3.29"
"Cambodia","Data source","Wine","0.02"
"Cambodia","Data source","Spirits","0.39"
"Cambodia","Data source","Other alcoholic beverages","0.00"
"Cameroon","Data source","All types","4.19"
"Cameroon","Data source","Beer","2.47"
"Cameroon","Data source","Wine","0.12"
"Cameroon","Data source","Spirits","0.01"
"Cameroon","Data source","Other alcoholic beverages","1.59"
"Canada","Data source","All types","8.20"
"Canada","Data source","Beer","3.60"
"Canada","Data source","Wine","2.20"
"Canada","Data source","Spirits","2.10"
"Canada","Data source","Other alcoholic beverages","0.30"
"Central African Republic","Data source","All types","0.88"
"Central African Republic","Data source","Beer","0.51"
"Central African Republic","Data source","Wine","0.02"
"Central African Republic","Data source","Spirits","0.03"
"Central African Republic","Data source","Other alcoholic beverages","0.32"
"Chad","Data source","All types","0.42"
"Chad","Data source","Beer","0.40"
"Chad","Data source","Wine","0.01"
"Chad","Data source","Spirits","0.01"
"Chad","Data source","Other alcoholic beverages","0.00"
"Chile","Data source","All types","7.84"
"Chile","Data source","Beer","2.80"
"Chile","Data source","Wine","2.61"
"Chile","Data source","Spirits","2.43"
"Chile","Data source","Other alcoholic beverages","0"
"China","Data source","All types","5.62"
"China","Data source","Beer","1.67"
"China","Data source","Wine","0.20"
"China","Data source","Spirits","3.75"
"China","Data source","Other alcoholic beverages","0.00"
"Colombia","Data source","All types","4.29"
