,Country,GDP (per capita PPP),HDI Rank,HDI,Life Expectancy,Overall rank,Score,GDP per capita,All types,Beer,Spirits,Wine,Other
0,Luxembourg,114110.0,23.0,0.913,82.1,17,6.91,1.5759999999999998,10.94,4.03,2.21,4.7,0.0
1,Singapore,97745.0,11.0,0.936,83.5,34,6.343,1.5290000000000001,1.85,1.25,0.27,0.3,0.04
2,Qatar,94503.0,45.0,0.845,80.1,32,6.374,1.649,1.02,0.3,0.64,0.08,0.01
3,Ireland,83471.0,2.0,0.951,82.1,14,6.977,1.4480000000000002,11.2,5.12,2.32,2.9,0.85
4,Switzerland,68479.0,2.0,0.955,83.6,5,7.487,1.42,9.51,3.17,1.65,4.23,0.12
5,United Arab Emirates,66968.0,31.0,0.889,77.8,20,6.774,2.096,2.12,0.22,1.73,0.15,0.02
6,Norway,63333.0,1.0,0.956,82.3,2,7.593999999999999,1.456,6.02,2.66,0.97,2.2,0.19
7,United States,61544.0,17.0,0.925,78.9,18,6.886,1.3980000000000001,8.82,4.01,3.18,1.63,0.0
8,Netherlands,56455.0,8.0,0.942,82.1,6,7.441,1.361,8.34,4.0,1.41,2.94,0.0
9,Iceland,56158.0,4.0,0.946,82.9,4,7.495,1.3430000000000002,7.72,4.39,1.22,2.11,0.0
10,Denmark,56103.0,10.0,0.939,80.8,3,7.555,1.351,9.31,3.45,1.65,4.22,0.0
11,Austria,55687.0,18.0,0.921,81.4,12,7.138999999999999,1.341,11.8,6.4,1.9,3.6,0.0
12,Germany,53660.0,6.0,0.946,81.2,15,6.965,1.34,10.81,5.64,2.07,3.11,0.0
13,Sweden,53146.0,7.0,0.943,82.7,9,7.314,1.355,7.2,2.69,1.0,3.38,0.13
14,Belgium,51246.0,14.0,0.93,81.5,16,6.9270000000000005,1.324,9.42,4.46,1.15,3.47,0.34
15,Kuwait,50479.0,64.0,0.807,75.4,45,6.082999999999999,1.474,0.01,0.0,0.01,0.0,0.0
16,Australia,49576.0,8.0,0.943,83.3,10,7.272,1.34,9.51,3.71,1.32,3.67,0.81
17,Canada,48924.0,16.0,0.928,82.3,7,7.327999999999999,1.33,8.2,3.6,2.1,2.2,0.3
18,Finland,48191.0,11.0,0.937,81.7,1,7.632000000000001,1.305,8.37,3.97,1.1,1.72,1.58
19,Saudi Arabia,47597.0,40.0,0.854,75.0,33,6.371,1.379,0.07,0.0,0.07,0.0,0.0
20,United Kingdom,46310.0,13.0,0.928,81.2,11,7.19,1.244,10.01,3.57,2.39,3.44,0.61
21,Bahrain,46242.0,42.0,0.852,77.2,43,6.105,1.338,1.23,0.37,0.73,0.1,0.02
22,France,45561.0,26.0,0.898,82.5,23,6.489,1.2930000000000001,11.24,2.43,2.35,6.29,0.17
